non,INFP,ENFP,INFJ,ENFJ,INTJ,ENTJ,INTP,ENTP,ISFP,ESFP,ISTP,ESTP,ISFJ,ESFJ,ISTJ,ESTJ
0,4,4,4,5,4,5,4,4,1,1,1,1,1,1,1,1
1,4,4,5,4,5,4,4,4,1,1,1,1,1,1,1,1
2,4,5,4,4,4,4,4,5,1,1,1,1,1,1,1,1
3,5,4,4,4,4,4,4,4,5,1,1,1,1,1,1,1
4,4,5,4,4,4,4,4,5,3,3,3,3,2,2,2,2
5,5,4,4,4,4,4,5,4,3,3,3,3,3,3,3,3
6,4,4,4,4,4,5,4,4,3,3,3,3,2,2,2,5
7,4,4,5,4,5,4,4,4,3,3,3,3,2,2,2,2
8,1,1,1,5,3,3,3,3,2,2,2,2,3,5,3,5
9,1,1,1,1,3,3,3,3,2,2,2,2,5,3,5,3
10,1,1,1,1,3,3,3,3,2,2,2,2,3,5,3,5
11,1,1,1,1,3,3,3,3,2,2,2,2,5,3,5,3
12,1,1,1,1,2,3,2,2,3,5,3,5,4,4,4,4
13,1,1,1,1,2,3,2,2,5,3,5,3,4,4,4,4
14,1,1,1,1,2,3,2,2,3,5,3,5,4,4,4,4
15,1,1,1,1,2,3,5,2,5,3,5,3,4,4,4,4
